v1230998135,"Total, Raw materials price indexes (RMPI)"
v1230998136,"Crude energy products [M51]"
v1230998137,"Crude oil and bitumen [141]"
v1230998141,"Natural gas [142]"
v1230998142,"Coal [144]"
v1230998145,"Other energy products [145M]"
v1230998148,"Total, excluding crude energy products"
v1230998149,"Crop products [M11]"
v1230998150,"Wheat [112]"
v1230998151,"Canola (including rapeseed) [113]"
v1230998152,"Fresh fruit, nuts and vegetables, and pulse crops [114]""
v1230998157,"Other crop products [115]"
v1230998162,"Cannabis seeds, plants and fresh flowering tops, in bulk [213M]"
v1230998165,"Animals and animal products [M21]"
v1230998166,"Live animals [111]"
v1230998171,"Other animal products [116]"
v1230998175,"Fish, crustaceans, shellfish and other fishery products [121]"
v1230998177,"Non-metallic minerals [M31]"
v1230998178,"Potash [161]"
v1230998180,"Stone, sand, gravel, clay, and refractory minerals [162]"
v1230998183,"Diamonds and other non-metallic minerals (except cut gemstones) [163]"
v1230998186,"Logs, pulpwood, natural rubber and other forestry products [M41]"
v1230998187,"Logs, pulpwood and other forestry products [131]"
v1230998191,"Natural rubber [282M]"
v1230998193,"Metal ores, concentrates and scrap [M61]"
v1230998194,"Iron ores and concentrates [151]"
v1230998196,"Copper ores and concentrates [152]"
v1230998198,"Nickel ores and concentrates [153]"
v1230998200,"Radioactive ores and concentrates [154]"
v1230998202,"Other metal ores and concentrates [155]"
v1230998207,"Waste and scrap of metal [156]"
